name,category,alcoholic,ingredients,desc
A1,Cocktail,Alcoholic,"['Gin', 'Grand Marnier', 'Lemon Juice', 'Grenadine']","A1: A sophisticated blend of gin, Grand Marnier, and lemon juice, subtly sweetened with grenadine, creating a tangy and refreshing cocktail with a hint of citrus and floral notes."
ABC,Shot,Alcoholic,"['Amaretto', 'Baileys irish cream', 'Cognac']","""Indulge in ABC, a rich and velvety blend of Amaretto, Baileys Irish Cream, and Cognac, crafting a decadent harmony of almond, cream, and oak notes."""
Ace,Cocktail,Alcoholic,"['Gin', 'Grenadine', 'Heavy cream', 'Milk', 'Egg White']","Introducing the Ace: a velvety, sweet, and tangy cocktail blending gin, grenadine, and creamy textures, topped with a silky egg white foam."
ACID,Shot,Alcoholic,"['151 proof rum', 'Wild Turkey']","""ACID: A potent mix of 151 proof rum and Wild Turkey, not for the faint of heart. Approach with caution."""
Adam,Ordinary Drink,Alcoholic,"['Dark rum', 'Lemon juice', 'Grenadine']","""Adam: A sultry blend of dark rum, zesty lemon juice, and sweet grenadine, crafting a mysterious and alluring cocktail that will leave you wanting more."""
AT&T,Ordinary Drink,Alcoholic,"['Absolut Vodka', 'Gin', 'Tonic water']","""Experience the triple threat with AT&T, a bold blend of Absolut Vodka, crisp Gin, and refreshing Tonic water, coming together in perfect harmony."""
A. J.,Ordinary Drink,Alcoholic,"['Applejack', 'Grapefruit juice']","A. J.: A tangy twist on tradition, blending Applejack's warm spice with the zesty bite of grapefruit juice, creating a refreshing and bold cocktail."
Avalon,Ordinary Drink,Alcoholic,"['Vodka', 'Pisang Ambon', 'Apple juice', 'Lemon juice', 'Lemonade']","Avalon: A mystical blend of vodka, Pisang Ambon, and apple juice, zested with lemon and fizzed with lemonade, creating a refreshing and fruity escape."
Apello,Other / Unknown,Non alcoholic,"['Orange juice', 'Grapefruit juice', 'Apple juice', 'Maraschino cherry']","Apello: A vibrant blend of orange, grapefruit, and apple juices, garnished with a sweet maraschino cherry, creating a refreshing and fruity twist."
Affair,Ordinary Drink,Alcoholic,"['Strawberry schnapps', 'Orange juice', 'Cranberry juice', 'Club soda']","Indulge in the Affair, a tantalizing blend of strawberry schnapps, orange juice, and cranberry juice, topped with a splash of club soda, creating a sweet and tangy affair that will leave you wanting more."
Abilene,Ordinary Drink,Alcoholic,"['Dark rum', 'Peach nectar', 'Orange juice']","Abilene: A sultry blend of dark rum, peach nectar, and orange juice, evoking warm summer nights with a hint of tropical sweetness."
Almeria,Ordinary Drink,Alcoholic,"['Dark rum', 'Kahlua', 'Egg white']","""Indulge in Almeria, a rich and velvety nightcap blending dark rum, decadent Kahlua, and a hint of silky egg white, crafting a smooth, mysterious delight."""
Addison,Cocktail,Alcoholic,"['Gin', 'Vermouth']","Addison: A classic blend of crisp gin and smooth vermouth, perfectly balanced for a sophisticated sip."
Applecar,Ordinary Drink,Alcoholic,"['Applejack', 'Triple sec', 'Lemon juice']","""Indulge in the Applecar, a crisp blend of Applejack, Triple sec, and zesty lemon juice, combining autumnal warmth with a hint of citrusy delight."""
Acapulco,Ordinary Drink,Alcoholic,"['Light rum', 'Triple sec', 'Lime juice', 'Sugar', 'Egg white', 'Mint']","Acapulco: A refreshing twist on a classic cocktail, blending light rum, triple sec, and zesty lime juice, sweetened with sugar and smoothed with egg white, garnished with a sprig of fresh mint."
